"MW.g.mol.","melting.point..__","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","logS","Polymers","Drug.loading.ratio","Preparation.method.hot.melt.extrution.1.1_solvent.evaporation.2.2_","temperature___","Relative.Humidity_._","X3month_stabable.1_not.stable.0_","X6month_stabable.1_not.stable.0_"
0.00423134125138772,0.417867435158501,0.253521126760563,0.5,0.25,0.272727272727273,0.398595258999122,0,0,0.238787878787879,0.6,0.5,1,0.181034482758621,0.75,0,0
0.271371415404596,0.406340057636888,0.394366197183099,0.5,0.375,0.363636363636364,0.591747146619842,0.25,0.271648873072361,0.175757575757576,0.4,0.277777777777778,0,0.310344827586207,0.75,0,0
0.326797796350992,0.371757925072046,0.338028169014085,0.5,0.5,0.545454545454545,0.557506584723442,0.25,0.399762752075919,0.206060606060606,0.4,0.222222222222222,1,0.310344827586207,0.75,0,0
0.271371415404596,0.406340057636888,0.394366197183099,0.5,0.375,0.363636363636364,0.591747146619842,0.25,0.271648873072361,0.175757575757576,0.4,0.5,1,0.181034482758621,0.75,0,0
0.271371415404596,0.406340057636888,0.394366197183099,0.5,0.375,0.363636363636364,0.591747146619842,0.25,0.271648873072361,0.175757575757576,0.4,0.277777777777778,0,0.310344827586207,0.75,0,0
0.293835019585664,0.642651296829971,0.605633802816901,0,0.125,0.545454545454545,0.0474100087796313,0.34375,0.180308422301305,1,0.1,0.166666666666667,0,0.00862068965517241,0,1,0
0.320764992982677,0.446685878962536,0.267605633802817,0.5,0.75,0.272727272727273,0.748902546093064,0.28125,0.355871886120996,0.193939393939394,1,0.722222222222222,0,0.181034482758621,0,1,1
0.00423134125138772,0.417867435158501,0.253521126760563,0.5,0.25,0.272727272727273,0.398595258999122,0,0,0.238787878787879,0.4,0.833333333333333,1,0.181034482758621,0.75,0,0
0.0168206288359622,0.717579250720461,0.140845070422535,0.5,0,0,0.396839332748025,0.03125,0.0581257413997628,0.296969696969697,1,0.722222222222222,0,0.181034482758621,0,0,0
0.00837889356710446,0.538904899135447,0,1,0.25,0.181818181818182,0.651448639157155,0,0.0735468564650059,0.315151515151515,0.4,1,1,0.267241379310345,0,1,1
0.277739374515595,0,0.52112676056338,0,0.375,0.636363636363636,0.452151009657594,0.25,0.214709371293001,0.145454545454545,1,0.722222222222222,0,0.310344827586207,0,0,0
0.0168206288359622,0.717579250720461,0.140845070422535,0.5,0,0,0.396839332748025,0.03125,0.0581257413997628,0.296969696969697,1,0.0555555555555556,0,0.310344827586207,0.75,0,0
0.320764992982677,0.446685878962536,0.267605633802817,0.5,0.75,0.272727272727273,0.748902546093064,0.28125,0.355871886120996,0.193939393939394,1,0.0555555555555556,0,0.310344827586207,0.75,1,1
0.277739374515595,0,0.52112676056338,0,0.375,0.636363636363636,0.452151009657594,0.25,0.214709371293001,0.145454545454545,1,0.0555555555555556,0,0.181034482758621,0.75,0,0
0.00837889356710446,0.538904899135447,0,1,0.25,0.181818181818182,0.651448639157155,0,0.0735468564650059,0.315151515151515,0.4,1,1,0.482758620689655,0,0,0
